date,dew,temp,press,wnd_spd,snow,rain,pollution
2010-01-04 16:00:00,-21,-9,1031,152.41,0,0,30
2010-01-04 17:00:00,-20,-11,1032,159.56,0,0,30
2010-01-04 18:00:00,-23,-11,1032,165.37,0,0,28
2010-01-04 19:00:00,-21,-12,1033,171.18,0,0,26
2010-01-04 20:00:00,-24,-12,1034,180.12,0,0,31
2010-01-04 21:00:00,-24,-13,1034,187.27,0,0,33
2010-01-04 22:00:00,-24,-13,1035,195.32,0,0,29
2010-01-04 23:00:00,-26,-15,1035,198.45,0,0,31
2010-01-05 00:00:00,-26,-17,1035,201.58,0,0,30
2010-01-05 01:00:00,-26,-18,1035,205.6,0,0,34
2010-01-05 02:00:00,-26,-19,1035,208.73,0,0,27
2010-01-05 03:00:00,-27,-18,1035,213.65,0,0,25
2010-01-05 04:00:00,-27,-19,1035,218.57,0,0,28
2010-01-05 05:00:00,-27,-16,1034,4.92,0,0,28
2010-01-05 06:00:00,-26,-16,1035,8.05,0,0,27
2010-01-05 07:00:00,-27,-16,1034,13.86,0,0,27
2010-01-05 08:00:00,-26,-16,1035,18.78,0,0,27
2010-01-05 09:00:00,-26,-15,1035,24.59,0,0,29
2010-01-05 10:00:00,-25,-14,1035,29.51,0,0,36
2010-01-05 11:00:00,-25,-13,1035,34.43,0,0,30
2010-01-05 12:00:00,-25,-12,1034,39.35,0,0,27
2010-01-05 13:00:00,-24,-11,1032,41.14,0,0,39
2010-01-05 14:00:00,-22,-11,1032,0.89,0,0,41
2010-01-05 15:00:00,-23,-11,1031,1.79,0,0,33
2010-01-05 16:00:00,-24,-11,1031,3.58,0,0,50
2010-01-05 17:00:00,-23,-11,1031,5.37,0,0,56
2010-01-05 18:00:00,-23,-11,1032,7.16,0,0,59
2010-01-05 19:00:00,-22,-13,1033,10.29,0,0,60
2010-01-05 20:00:00,-22,-12,1033,13.42,0,0,84
2010-01-05 21:00:00,-24,-18,1033,16.55,0,0,106
2010-01-05 22:00:00,-22,-13,1034,20.57,0,0,66
2010-01-05 23:00:00,-22,-16,1033,23.7,0,0,50
2010-01-06 00:00:00,-25,-17,1033,26.83,0,0,56
2010-01-06 01:00:00,-25,-14,1033,4.02,0,0,77
2010-01-06 02:00:00,-26,-14,1034,8.04,0,0,50
2010-01-06 03:00:00,-26,-14,1033,13.85,0,0,44
2010-01-06 04:00:00,-26,-14,1033,17.87,0,0,27
2010-01-06 05:00:00,-26,-14,1033,23.68,0,0,28
2010-01-06 06:00:00,-26,-14,1033,28.6,0,0,21
2010-01-06 07:00:00,-26,-15,1034,33.52,0,0,25
2010-01-06 08:00:00,-26,-14,1034,39.33,0,0,20
2010-01-06 09:00:00,-25,-13,1035,44.25,0,0,29
2010-01-06 10:00:00,-25,-12,1035,50.06,0,0,34
2010-01-06 11:00:00,-24,-11,1035,54.98,0,0,42
2010-01-06 12:00:00,-24,-10,1034,59,0,0,28
2010-01-06 13:00:00,-22,-10,1033,4.02,0,0,36
2010-01-06 14:00:00,-22,-9,1033,5.81,0,0,48
2010-01-06 15:00:00,-22,-8,1033,0.89,0,0,49
2010-01-06 16:00:00,-22,-8,1033,1.79,0,0,52
2010-01-06 17:00:00,-21,-9,1033,3.58,0,0,56
2010-01-06 18:00:00,-22,-9,1033,5.37,0,0,96
2010-01-06 19:00:00,-22,-14,1034,0.89,0,0,75
2010-01-06 20:00:00,-22,-12,1035,1.79,0,0,105
2010-01-06 21:00:00,-21,-14,1034,3.58,0,0,132
2010-01-06 22:00:00,-22,-16,1035,5.37,0,0,93
2010-01-06 23:00:00,-21,-16,1035,7.16,0,0,131
2010-01-07 00:00:00,-21,-16,1035,8.95,0,0,127
2010-01-07 01:00:00,-21,-16,1035,0.45,0,0,130
2010-01-07 02:00:00,-22,-18,1036,1.34,0,0,43
2010-01-07 03:00:00,-23,-15,1036,4.02,0,0,37
2010-01-07 04:00:00,-24,-16,1035,7.15,0,0,30
2010-01-07 05:00:00,-25,-15,1035,10.28,0,0,28
2010-01-07 06:00:00,-24,-15,1035,14.3,0,0,24
2010-01-07 07:00:00,-25,-13,1036,4.92,0,0,23
2010-01-07 08:00:00,-24,-14,1036,4.02,0,0,24
2010-01-07 09:00:00,-23,-12,1036,8.94,0,0,27
2010-01-07 10:00:00,-22,-11,1036,12.96,0,0,40
2010-01-07 11:00:00,-20,-10,1036,16.09,0,0,42
2010-01-07 12:00:00,-21,-9,1035,19.22,0,0,42
2010-01-07 13:00:00,-21,-8,1034,21.01,0,0,55
2010-01-07 14:00:00,-20,-7,1033,22.8,0,0,52
2010-01-07 15:00:00,-20,-7,1032,24.59,0,0,51
2010-01-07 16:00:00,-18,-8,1032,26.38,0,0,57
2010-01-07 17:00:00,-19,-9,1032,28.17,0,0,50
2010-01-07 18:00:00,-19,-11,1032,0.89,0,0,54
2010-01-07 19:00:00,-18,-11,1033,1.79,0,0,67
2010-01-07 20:00:00,-19,-15,1032,1.79,0,0,106
2010-01-07 21:00:00,-19,-14,1032,0.45,0,0,159
2010-01-07 22:00:00,-21,-14,1032,1.34,0,0,198
2010-01-07 23:00:00,-21,-16,1032,2.23,0,0,190
2010-01-08 00:00:00,-21,-17,1031,1.79,0,0,210
2010-01-08 01:00:00,-19,-16,1031,3.58,0,0,195
2010-01-08 02:00:00,-20,-16,1031,0.89,0,0,275
2010-01-08 03:00:00,-19,-15,1030,0.89,0,0,164
2010-01-08 04:00:00,-18,-15,1030,0.45,0,0,110
2010-01-08 05:00:00,-18,-15,1029,1.34,0,0,100
2010-01-08 06:00:00,-18,-15,1029,1.79,0,0,81
2010-01-08 07:00:00,-16,-13,1029,0.89,0,0,71
2010-01-08 08:00:00,-16,-12,1029,0.89,0,0,66
2010-01-08 09:00:00,-16,-12,1030,1.78,0,0,92
2010-01-08 10:00:00,-17,-10,1030,0.89,0,0,135
2010-01-08 11:00:00,-16,-10,1029,0.89,0,0,155
2010-01-08 12:00:00,-16,-9,1028,3.13,0,0,198
2010-01-08 13:00:00,-15,-8,1026,4.92,0,0,250
2010-01-08 14:00:00,-16,-8,1026,0.89,0,0,200
2010-01-08 15:00:00,-16,-8,1025,1.78,0,0,231
2010-01-08 16:00:00,-16,-8,1025,2.67,0,0,250
2010-01-08 17:00:00,-17,-8,1025,0.89,0,0,212
2010-01-08 18:00:00,-17,-9,1026,0.45,0,0,219
2010-01-08 19:00:00,-17,-11,1026,1.34,0,0,227
2010-01-08 20:00:00,-17,-12,1026,1.79,0,0,226
2010-01-08 21:00:00,-18,-14,1027,1.79,0,0,225
2010-01-08 22:00:00,-16,-9,1027,4.92,0,0,168
2010-01-08 23:00:00,-16,-11,1027,6.71,0,0,169
2010-01-09 00:00:00,-17,-13,1027,0.89,0,0,165
2010-01-09 01:00:00,-17,-13,1027,3.13,0,0,159
2010-01-09 02:00:00,-17,-14,1027,4.92,0,0,167
2010-01-09 03:00:00,-17,-15,1027,8.05,0,0,196
2010-01-09 04:00:00,-17,-13,1027,9.84,0,0,169
2010-01-09 05:00:00,-19,-16,1027,13.86,0,0,155
2010-01-09 06:00:00,-18,-15,1027,17.88,0,0,119
2010-01-09 07:00:00,-19,-15,1027,21.9,0,0,106
2010-01-09 08:00:00,-18,-14,1028,25.92,0,0,93
2010-01-09 09:00:00,-18,-9,1029,5.81,0,0,84
2010-01-09 10:00:00,-17,-7,1029,11.62,0,0,73
2010-01-09 11:00:00,-17,-6,1030,17.43,0,0,66
2010-01-09 12:00:00,-16,-6,1029,23.24,0,0,40
2010-01-09 13:00:00,-16,-5,1029,28.16,0,0,49
2010-01-09 14:00:00,-15,-4,1029,33.08,0,0,50
2010-01-09 15:00:00,-14,-4,1028,37.1,0,0,49
2010-01-09 16:00:00,-15,-4,1029,38.89,0,0,41
2010-01-09 17:00:00,-15,-4,1030,1.79,0,0,37
2010-01-09 18:00:00,-15,-7,1030,3.13,0,0,45
2010-01-09 19:00:00,-15,-6,1031,3.13,0,0,44
2010-01-09 20:00:00,-15,-7,1032,4.92,0,0,54
2010-01-09 21:00:00,-15,-6,1032,3.13,0,0,50
2010-01-09 22:00:00,-15,-8,1033,0.45,0,0,47
2010-01-09 23:00:00,-15,-8,1033,0.9,0,0,66
2010-01-10 00:00:00,-15,-11,1033,0.89,0,0,75
2010-01-10 01:00:00,-17,-13,1033,1.78,0,0,82
2010-01-10 02:00:00,-17,-12,1033,4.91,0,0,66
2010-01-10 03:00:00,-17,-13,1033,8.04,0,0,83
2010-01-10 04:00:00,-19,-14,1032,9.83,0,0,62
2010-01-10 05:00:00,-18,-13,1032,12.96,0,0,40
2010-01-10 06:00:00,-19,-13,1032,16.09,0,0,23
2010-01-10 07:00:00,-19,-14,1033,19.22,0,0,25
2010-01-10 08:00:00,-19,-14,1034,22.35,0,0,27
2010-01-10 09:00:00,-17,-12,1033,24.14,0,0,35
2010-01-10 10:00:00,-16,-7,1033,4.02,0,0,50
2010-01-10 11:00:00,-15,-7,1033,3.13,0,0,70
2010-01-10 12:00:00,-15,-7,1032,6.26,0,0,75
2010-01-10 13:00:00,-14,-6,1031,9.39,0,0,58
2010-01-10 14:00:00,-14,-6,1031,12.52,0,0,70
2010-01-10 15:00:00,-13,-5,1030,14.31,0,0,68
2010-01-10 16:00:00,-14,-5,1031,16.1,0,0,71
2010-01-10 17:00:00,-14,-6,1031,19.23,0,0,88
2010-01-10 18:00:00,-13,-7,1032,23.25,0,0,84
2010-01-10 19:00:00,-15,-6,1032,27.27,0,0,83
2010-01-10 20:00:00,-15,-6,1033,30.4,0,0,66
2010-01-10 21:00:00,-15,-4,1034,35.32,0,0,27
2010-01-10 22:00:00,-16,-4,1034,44.26,0,0,24
2010-01-10 23:00:00,-17,-5,1035,52.31,0,0,22
2010-01-11 00:00:00,-17,-6,1035,60.36,0,0,23
2010-01-11 01:00:00,-17,-8,1035,0.89,0,0,27
2010-01-11 02:00:00,-19,-11,1036,4.02,0,0,23
2010-01-11 03:00:00,-20,-11,1036,8.94,0,0,17
2010-01-11 04:00:00,-21,-11,1035,4.02,0,0,17
2010-01-11 05:00:00,-22,-12,1035,3.13,0,0,16
2010-01-11 06:00:00,-22,-12,1035,4.92,0,0,16
2010-01-11 07:00:00,-22,-13,1036,5.81,0,0,20
2010-01-11 08:00:00,-22,-9,1036,13.86,0,0,20
2010-01-11 09:00:00,-22,-10,1036,21.91,0,0,18
2010-01-11 10:00:00,-22,-9,1036,29.06,0,0,25
2010-01-11 11:00:00,-21,-9,1036,33.08,0,0,26
2010-01-11 12:00:00,-20,-6,1035,42.02,0,0,27
2010-01-11 13:00:00,-19,-5,1034,50.96,0,0,28
2010-01-11 14:00:00,-19,-5,1033,59.01,0,0,15
2010-01-11 15:00:00,-20,-5,1033,66.16,0,0,24
2010-01-11 16:00:00,-20,-5,1032,71.97,0,0,13
2010-01-11 17:00:00,-20,-5,1033,76.89,0,0,13
2010-01-11 18:00:00,-20,-7,1033,81.81,0,0,13
2010-01-11 19:00:00,-22,-7,1033,85.83,0,0,17
2010-01-11 20:00:00,-22,-8,1033,89.85,0,0,20
2010-01-11 21:00:00,-23,-10,1033,91.64,0,0,27
2010-01-11 22:00:00,-23,-13,1033,93.43,0,0,20
2010-01-11 23:00:00,-22,-12,1032,0.89,0,0,15
2010-01-12 00:00:00,-22,-15,1031,1.78,0,0,21
2010-01-12 01:00:00,-22,-14,1031,1.79,0,0,21
2010-01-12 02:00:00,-22,-14,1031,0.89,0,0,37
2010-01-12 03:00:00,-24,-18,1030,1.79,0,0,26
2010-01-12 04:00:00,-24,-13,1030,3.58,0,0,15
2010-01-12 05:00:00,-25,-14,1030,3.13,0,0,9
2010-01-12 06:00:00,-24,-14,1030,7.15,0,0,11
2010-01-12 07:00:00,-25,-12,1030,12.96,0,0,11
2010-01-12 08:00:00,-26,-14,1030,16.98,0,0,16
2010-01-12 09:00:00,-25,-12,1031,21,0,0,13
2010-01-12 10:00:00,-25,-11,1031,26.81,0,0,15
2010-01-12 11:00:00,-24,-11,1030,35.75,0,0,21
2010-01-12 12:00:00,-23,-11,1029,47.82,0,0,24
2010-01-12 13:00:00,-22,-11,1029,63.02,0,0,22
2010-01-12 14:00:00,-23,-11,1029,75.98,0,0,22
2010-01-12 15:00:00,-22,-11,1029,88.05,0,0,22
2010-01-12 16:00:00,-23,-11,1030,101.01,0,0,19
2010-01-12 17:00:00,-24,-11,1030,109.06,0,0,23
2010-01-12 18:00:00,-24,-11,1032,118,0,0,25
2010-01-12 19:00:00,-23,-11,1032,126.05,0,0,25
2010-01-12 20:00:00,-23,-12,1032,134.1,0,0,31
2010-01-12 21:00:00,-24,-12,1033,142.15,0,0,25
2010-01-12 22:00:00,-23,-12,1033,150.2,0,0,22
2010-01-12 23:00:00,-23,-12,1034,160.03,0,0,22
2010-01-13 00:00:00,-24,-12,1034,169.86,0,0,15
2010-01-13 01:00:00,-24,-12,1033,178.8,0,0,16
2010-01-13 02:00:00,-25,-12,1033,189.98,0,0,11
2010-01-13 03:00:00,-24,-13,1033,198.03,0,0,11
2010-01-13 04:00:00,-25,-12,1032,205.18,0,0,12
2010-01-13 05:00:00,-25,-12,1033,215.01,0,0,11
2010-01-13 06:00:00,-25,-12,1032,226.19,0,0,12
2010-01-13 07:00:00,-25,-12,1032,235.13,0,0,27
2010-01-13 08:00:00,-25,-12,1032,243.18,0,0,28
2010-01-13 09:00:00,-23,-11,1033,252.12,0,0,34
2010-01-13 10:00:00,-23,-10,1033,257.93,0,0,33
2010-01-13 11:00:00,-22,-9,1033,263.74,0,0,36
2010-01-13 12:00:00,-21,-8,1031,270.89,0,0,26
2010-01-13 13:00:00,-21,-6,1030,278.94,0,0,49
2010-01-13 14:00:00,-20,-5,1029,286.99,0,0,52
2010-01-13 15:00:00,-22,-5,1028,294.14,0,0,47
2010-01-13 16:00:00,-21,-5,1028,299.06,0,0,47
2010-01-13 17:00:00,-19,-7,1028,1.79,0,0,39
2010-01-13 18:00:00,-19,-8,1028,0.45,0,0,59
2010-01-13 19:00:00,-20,-9,1028,1.34,0,0,76
2010-01-13 20:00:00,-19,-10,1027,1.79,0,0,96
2010-01-13 21:00:00,-19,-13,1027,0.89,0,0,95
2010-01-13 22:00:00,-18,-12,1027,1.78,0,0,68
2010-01-13 23:00:00,-18,-13,1027,0.89,0,0,65
2010-01-14 00:00:00,-18,-14,1026,1.78,0,0,75
2010-01-14 01:00:00,-20,-15,1025,2.67,0,0,257
2010-01-14 02:00:00,-20,-15,1025,0.89,0,0,174
2010-01-14 03:00:00,-20,-16,1025,1.78,0,0,164
2010-01-14 04:00:00,-20,-16,1024,3.57,0,0,161
2010-01-14 05:00:00,-21,-17,1024,6.7,0,0,137
2010-01-14 06:00:00,-19,-14,1023,10.72,0,0,92
2010-01-14 07:00:00,-21,-17,1023,13.85,0,0,64
2010-01-14 08:00:00,-19,-15,1024,15.64,0,0,87
2010-01-14 09:00:00,-19,-14,1024,18.77,0,0,87
2010-01-14 10:00:00,-18,-10,1024,22.79,0,0,84
2010-01-14 11:00:00,-17,-9,1023,24.58,0,0,95
2010-01-14 12:00:00,-16,-6,1023,26.37,0,0,79
2010-01-14 13:00:00,-17,-5,1022,28.16,0,0,75
2010-01-14 14:00:00,-16,-5,1022,29.95,0,0,79
2010-01-14 15:00:00,-15,-4,1022,33.08,0,0,86
2010-01-14 16:00:00,-16,-4,1023,0.89,0,0,72
2010-01-14 17:00:00,-15,-5,1025,1.79,0,0,89
2010-01-14 18:00:00,-14,-3,1026,5.81,0,0,94
2010-01-14 19:00:00,-16,-3,1027,11.62,0,0,69
2010-01-14 20:00:00,-15,-4,1029,20.56,0,0,49
2010-01-14 21:00:00,-16,-5,1031,24.58,0,0,33
2010-01-14 22:00:00,-17,-6,1032,3.13,0,0,27
2010-01-14 23:00:00,-18,-6,1033,8.05,0,0,20
2010-01-15 00:00:00,-19,-7,1034,13.86,0,0,36
2010-01-15 01:00:00,-17,-8,1035,5.81,0,0,37
2010-01-15 02:00:00,-18,-10,1035,11.62,0,0,30
2010-01-15 03:00:00,-19,-10,1036,14.75,0,0,18
2010-01-15 04:00:00,-19,-9,1036,19.67,0,0,21
2010-01-15 05:00:00,-19,-9,1036,7.15,0,0,13
2010-01-15 06:00:00,-20,-9,1037,12.96,0,0,23
2010-01-15 07:00:00,-19,-9,1037,18.77,0,0,26
2010-01-15 08:00:00,-19,-8,1038,22.79,0,0,27
2010-01-15 09:00:00,-19,-8,1039,28.6,0,0,30
2010-01-15 10:00:00,-19,-7,1039,35.75,0,0,28
2010-01-15 11:00:00,-18,-6,1039,41.56,0,0,26
2010-01-15 12:00:00,-18,-5,1039,45.58,0,0,26
2010-01-15 13:00:00,-17,-4,1038,1.79,0,0,31
2010-01-15 14:00:00,-16,-3,1037,0.89,0,0,35
2010-01-15 15:00:00,-17,-3,1037,1.78,0,0,36
2010-01-15 16:00:00,-17,-2,1037,2.23,0,0,37
2010-01-15 17:00:00,-15,-5,1036,0.89,0,0,64
2010-01-15 18:00:00,-15,-6,1036,0.89,0,0,83
2010-01-15 19:00:00,-15,-6,1037,1.78,0,0,91
2010-01-15 20:00:00,-14,-6,1037,1.79,0,0,90
2010-01-15 21:00:00,-14,-8,1036,3.58,0,0,102
2010-01-15 22:00:00,-14,-10,1037,0.89,0,0,94
2010-01-15 23:00:00,-15,-11,1036,1.78,0,0,87
2010-01-16 00:00:00,-15,-11,1036,2.67,0,0,141
2010-01-16 01:00:00,-16,-13,1036,0.89,0,0,211
2010-01-16 02:00:00,-16,-12,1036,0.89,0,0,242
2010-01-16 03:00:00,-16,-13,1035,0.89,0,0,271
2010-01-16 04:00:00,-15,-12,1035,1.78,0,0,249
2010-01-16 05:00:00,-14,-10,1034,1.79,0,0,200
2010-01-16 06:00:00,-15,-10,1034,2.68,0,0,147
2010-01-16 07:00:00,-15,-11,1034,4.47,0,0,114
2010-01-16 08:00:00,-15,-11,1034,6.26,0,0,102
2010-01-16 09:00:00,-14,-9,1034,8.05,0,0,108
2010-01-16 10:00:00,-14,-9,1034,9.84,0,0,135
2010-01-16 11:00:00,-13,-6,1034,0.89,0,0,120
2010-01-16 12:00:00,-13,-5,1033,1.79,0,0,148
2010-01-16 13:00:00,-12,-4,1031,0.89,0,0,127
2010-01-16 14:00:00,-12,-3,1031,1.78,0,0,128
2010-01-16 15:00:00,-12,-3,1030,2.67,0,0,140
2010-01-16 16:00:00,-11,-3,1030,3.56,0,0,148
2010-01-16 17:00:00,-11,-4,1031,0.89,0,0,150
2010-01-16 18:00:00,-12,-7,1031,0.89,0,0,154
2010-01-16 19:00:00,-12,-7,1032,1.78,0,0,197
2010-01-16 20:00:00,-12,-8,1032,2.23,0,0,235
2010-01-16 21:00:00,-12,-9,1032,3.12,0,0,261
2010-01-16 22:00:00,-13,-11,1032,0.89,0,0,269
2010-01-16 23:00:00,-14,-11,1032,2.68,0,0,266
2010-01-17 00:00:00,-15,-12,1032,5.81,0,0,263
2010-01-17 01:00:00,-14,-11,1032,0.45,0,0,241
2010-01-17 02:00:00,-14,-11,1031,1.34,0,0,205
2010-01-17 03:00:00,-14,-12,1031,1.79,0,0,160
2010-01-17 04:00:00,-14,-12,1031,3.58,0,0,150
2010-01-17 05:00:00,-14,-10,1030,6.71,0,0,148
2010-01-17 06:00:00,-14,-11,1030,9.84,0,0,208
2010-01-17 07:00:00,-15,-10,1030,11.63,0,0,209
2010-01-17 08:00:00,-13,-10,1030,14.76,0,0,183
2010-01-17 09:00:00,-13,-8,1030,17.89,0,0,161
2010-01-17 10:00:00,-12,-6,1030,0.45,0,0,182
2010-01-17 11:00:00,-11,-5,1030,1.34,0,0,230
2010-01-17 12:00:00,-11,-4,1029,2.23,0,0,170
2010-01-17 13:00:00,-11,-3,1028,3.12,0,0,172
2010-01-17 14:00:00,-10,-1,1027,4.01,0,0,154
2010-01-17 15:00:00,-11,-1,1027,4.46,0,0,166
2010-01-17 16:00:00,-10,-1,1026,0.89,0,0,177
2010-01-17 17:00:00,-10,-3,1026,1.78,0,0,191
2010-01-17 18:00:00,-10,-5,1027,2.67,0,0,212
2010-01-17 19:00:00,-10,-6,1027,0.89,0,0,250
2010-01-17 20:00:00,-11,-7,1027,0.45,0,0,268
2010-01-17 21:00:00,-10,-7,1027,0.9,0,0,317
2010-01-17 22:00:00,-11,-9,1027,1.35,0,0,291
2010-01-17 23:00:00,-12,-9,1027,0.89,0,0,313
2010-01-18 00:00:00,-12,-10,1028,0.89,0,0,282
2010-01-18 01:00:00,-13,-11,1028,3.13,0,0,282
2010-01-18 02:00:00,-11,-9,1028,4.92,0,0,303
2010-01-18 03:00:00,-13,-10,1028,6.71,0,0,349
2010-01-18 04:00:00,-13,-11,1028,7.6,0,0,407
2010-01-18 05:00:00,-13,-11,1027,1.79,0,0,361
2010-01-18 06:00:00,-14,-11,1028,0.89,0,0,234
2010-01-18 07:00:00,-14,-11,1028,4.02,0,0,149
2010-01-18 08:00:00,-14,-11,1028,5.81,0,0,147
2010-01-18 09:00:00,-11,-6,1028,9.83,0,0,184
2010-01-18 10:00:00,-10,-5,1028,11.62,0,0,161
2010-01-18 11:00:00,-9,-3,1028,13.41,0,0,137
2010-01-18 12:00:00,-8,-1,1027,15.2,0,0,146
2010-01-18 13:00:00,-9,0,1026,16.99,0,0,144
2010-01-18 14:00:00,-9,1,1025,1.79,0,0,154
2010-01-18 15:00:00,-9,1,1025,0.89,0,0,173
2010-01-18 16:00:00,-8,1,1025,0.89,0,0,188
2010-01-18 17:00:00,-7,-1,1025,2.68,0,0,203
2010-01-18 18:00:00,-7,-2,1025,0.89,0,0,233
2010-01-18 19:00:00,-7,-3,1025,0.89,0,0,408
2010-01-18 20:00:00,-5,-2,1026,0.89,0,0,435
2010-01-18 21:00:00,-5,-1,1026,1.79,0,0,403
2010-01-18 22:00:00,-5,-1,1026,3.58,0,0,360
2010-01-18 23:00:00,-6,-1,1026,0.89,0,0,402
2010-01-19 00:00:00,-4,-1,1025,1.79,0,0,358
2010-01-19 01:00:00,-5,-1,1024,4.92,0,0,383
2010-01-19 02:00:00,-5,-1,1024,6.71,0,0,332
2010-01-19 03:00:00,-5,-1,1023,8.5,0,0,274
2010-01-19 04:00:00,-4,-1,1022,10.29,0,0,256
2010-01-19 05:00:00,-4,-1,1021,11.18,0,0,302
2010-01-19 06:00:00,-4,-1,1021,12.07,0,0,330
2010-01-19 07:00:00,-4,-1,1021,13.86,0,0,367
2010-01-19 08:00:00,-4,0,1021,0.89,0,0,297
2010-01-19 09:00:00,-4,0,1021,1.79,0,0,331
2010-01-19 10:00:00,-4,0,1021,0.89,0,0,323
2010-01-19 11:00:00,-5,1,1021,1.79,0,0,339
2010-01-19 12:00:00,-5,1,1020,0.89,0,0,301
2010-01-19 13:00:00,-4,1,1019,1.34,0,0,310
2010-01-19 14:00:00,-4,1,1018,0.89,0,0,305
2010-01-19 15:00:00,-3,2,1018,0.45,0,0,313
2010-01-19 16:00:00,-3,2,1018,1.34,0,0,336
2010-01-19 17:00:00,-2,2,1018,0.89,0,0,357
2010-01-19 18:00:00,-3,1,1018,0.89,0,0,485
2010-01-19 19:00:00,-3,2,1020,1.79,0,0,426
2010-01-19 20:00:00,-3,1,1020,4.92,0,0,403
2010-01-19 21:00:00,-3,0,1021,6.71,0,0,374
2010-01-19 22:00:00,-3,0,1021,8.5,0,0,333
2010-01-19 23:00:00,-3,1,1020,11.63,0,0,343
2010-01-20 00:00:00,-2,0,1021,14.76,0,0,364
2010-01-20 01:00:00,-2,-1,1022,16.55,0,0,389
2010-01-20 02:00:00,-4,-2,1022,19.68,0,0,368
2010-01-20 03:00:00,-2,-1,1023,25.49,0,0,267
